,index,date,season,team1,team2,score1,score2,team1_elo,team2_elo
140,32274,1990-11-21,1991,LAC,NJN,99.0,90.0,1508.4464521849377,1424.9525029462848
141,32275,1990-11-21,1991,LAL,DEN,141.0,121.0,1500.149486234168,1391.9365103031134
142,32276,1990-11-21,1991,MIL,ATL,105.0,93.0,1571.8264127106252,1473.6928247574622
143,32277,1990-11-23,1991,LAC,CHI,97.0,105.0,1476.2178819222615,736.3741427210358
144,32278,1990-11-23,1991,UTA,SEA,97.0,96.0,1482.8642594894889,1471.2996534371437
145,32279,1990-11-23,1991,POR,GSW,143.0,119.0,1645.4721443330463,1546.1738985129675
146,32280,1990-11-23,1991,PHO,NJN,114.0,116.0,1500.3422676396085,1447.1997650259623
147,32281,1990-11-23,1991,BOS,SAC,115.0,105.0,1569.1884878889819,1404.6839376762362
148,32282,1990-11-23,1991,CHH,MIA,100.0,116.0,1481.5413131444448,1490.2001001832516
149,32283,1990-11-23,1991,DAL,SAS,104.0,107.0,1487.1219233178751,1564.125157631026
150,32284,1990-11-23,1991,DET,WSB,97.0,88.0,2379.2801646819958,1414.8590433326417
151,32285,1990-11-23,1991,IND,HOU,112.0,111.0,1492.7864814540087,1499.844914339544
152,32286,1990-11-23,1991,PHI,CLE,111.0,105.0,1544.5483689392101,1545.9552938220945
153,32287,1990-11-24,1991,ATL,PHI,121.0,124.0,1457.3959751440734,1561.877928223746
154,32288,1990-11-24,1991,CLE,BOS,102.0,113.0,1529.3408602504708,1588.5093636791546
155,32289,1990-11-24,1991,DAL,UTA,74.0,85.0,1469.2541764815237,1503.5211797799525
156,32290,1990-11-24,1991,DEN,CHI,145.0,151.0,1356.3381793636468,759.2314491417999
157,32291,1990-11-24,1991,GSW,NJN,113.0,117.0,1524.5394557681036,1471.3666735159297
158,32292,1990-11-24,1991,LAL,ORL,115.0,89.0,1509.7960358394982,1430.0909692489906
159,32293,1990-11-24,1991,MIA,CHH,112.0,125.0,1471.8039467548297,1501.9624052368963
160,32294,1990-11-24,1991,NYK,MIL,97.0,107.0,1512.2402651273455,1590.567457322536
161,32295,1990-11-24,1991,WSB,IND,107.0,105.0,1431.1019966108186,1477.5245504911932
162,32296,1990-11-25,1991,LAC,ORL,119.0,91.0,1486.0272864047286,1420.8467205372842
163,32297,1990-11-25,1991,MIN,HOU,91.0,107.0,1427.2950467903686,1515.8434244874356
164,32298,1990-11-25,1991,POR,SAS,117.0,103.0,1655.625924405916,1555.322280198583
165,32299,1990-11-25,1991,DET,SAC,105.0,92.0,2388.857528601224,1403.1085022147652
166,32300,1990-11-26,1991,BOS,MIA,118.0,101.0,1596.7139971395566,1464.2100779164966
167,32301,1990-11-27,1991,DEN,ORL,124.0,113.0,1371.8319192790711,1405.322607936333
168,32302,1990-11-27,1991,HOU,LAC,107.0,102.0,1527.1743614097793,1474.7059961529383
169,32303,1990-11-27,1991,MIL,IND,112.0,98.0,1597.9749506762932,1469.8226923810612
170,32304,1990-11-27,1991,NJN,PHI,98.0,92.0,1488.0019512734457,1545.3444011006845
171,32305,1990-11-27,1991,POR,PHO,109.0,123.0,1630.1485159144663,1525.6185863478215
172,32306,1990-11-27,1991,NYK,CLE,102.0,107.0,1493.8496966859348,1547.6346758535394
