,index,date,season,team1,team2,score1,score2,team1_elo,team2_elo
188,32328,1990-11-30,1991,CHI,IND,124.0,95.0,1530.3954143268065,1455.5902892038498
189,32329,1990-11-30,1991,MIL,NYK,103.0,97.0,1557.4633668586866,1484.2555456186185
190,32330,1990-12-01,1991,SAS,DAL,109.0,97.0,1542.8410087400187,1478.9523802976037
191,32331,1990-12-01,1991,CLE,CHI,85.0,120.0,1519.0041350734516,1539.851891616065
192,32332,1990-12-01,1991,DEN,LAC,121.0,137.0,639.4032363712847,1497.4290399066047
193,32333,1990-12-01,1991,HOU,SAC,117.0,93.0,1507.722447420782,1396.9690075568924
194,32334,1990-12-01,1991,MIA,GSW,111.0,137.0,1468.0166623102482,2299.66172540575
195,32335,1990-12-01,1991,NJN,ORL,111.0,92.0,1481.3790093818802,1420.51004019902
196,32336,1990-12-01,1991,NYK,CHH,113.0,96.0,1494.5578924491513,1501.3723350987857
197,32337,1990-12-01,1991,PHI,BOS,116.0,110.0,1544.449183843221,1571.2922945424848
198,32338,1990-12-01,1991,PHO,LAL,98.0,108.0,1525.1743204312659,1522.8804606581841
199,32339,1990-12-01,1991,SEA,POR,124.0,130.0,1465.7686393459533,1596.5650817234734
200,32340,1990-12-01,1991,WSB,DET,94.0,83.0,1472.8453551386126,1578.669081450204
201,32341,1990-12-02,1991,LAC,MIN,102.0,77.0,1505.5791967759744,1438.6543287183458
202,32342,1990-12-02,1991,POR,UTA,101.0,97.0,1604.039124034113,1511.987819806649
203,32343,1990-12-02,1991,IND,MIL,107.0,103.0,1467.8780457336175,1545.18685804092
204,32344,1990-12-03,1991,BOS,SEA,135.0,102.0,1578.0146863139742,1459.0329626795406
205,32345,1990-12-03,1991,UTA,WSB,135.0,101.0,1520.4478465554482,1464.4068741211215
206,32346,1990-12-04,1991,CLE,DEN,121.0,117.0,1519.1081948725177,639.9451581022236
207,32347,1990-12-04,1991,HOU,ATL,110.0,113.0,1496.7515016448506,1465.9382202778331
208,32348,1990-12-04,1991,LAL,DET,114.0,90.0,1533.9392758180404,1567.5993182840784
209,32349,1990-12-04,1991,MIA,POR,95.0,98.0,1462.0454931789902,1610.009175088333
210,32350,1990-12-04,1991,NJN,SEA,106.0,102.0,1490.2973434388737,1450.134001164852
211,32351,1990-12-04,1991,MIN,IND,83.0,81.0,1449.0203492347694,1457.5728049350826
212,32352,1990-12-04,1991,SAC,DAL,103.0,83.0,1408.683172610267,1467.2126372637383
213,32353,1990-12-04,1991,PHI,MIL,109.0,108.0,1554.0110635575654,1535.6202124989852
214,32354,1990-12-04,1991,NYK,ORL,102.0,113.0,1483.0119558944625,1431.9584880638677
215,32355,1990-12-04,1991,CHI,PHO,155.0,127.0,1548.9813923000606,1516.0587855343
216,32356,1990-12-05,1991,UTA,DET,106.0,85.0,1531.2904737889069,1556.8119057212045
217,32357,1990-12-05,1991,LAC,DAL,93.0,89.0,1514.0616685394746,1458.7224939010414
218,32358,1990-12-05,1991,MIL,CLE,113.0,109.0,1544.7047703290355,1510.043923540125
219,32359,1990-12-05,1991,ORL,POR,110.0,119.0,1426.9935776498228,1615.0393311385237
220,32360,1990-12-05,1991,SAS,ATL,108.0,110.0,1531.214184917604,1477.5415164248489
221,32361,1990-12-05,1991,BOS,DEN,148.0,140.0,1578.115127830822,639.3907259485703
222,32362,1990-12-05,1991,GSW,WSB,98.0,104.0,2289.558610664978,1483.1178386634413
223,32363,1990-12-05,1991,IND,PHO,126.0,121.0,1468.2147406967845,1505.0913171838722
224,32364,1990-12-06,1991,MIA,SEA,103.0,105.0,1451.7359361369342,1459.4002011911016
225,32365,1990-12-06,1991,MIN,LAL,73.0,83.0,1441.222696333186,1541.5212022292035
226,32366,1990-12-06,1991,SAC,WSB,104.0,86.0,1419.2268437441262,1471.535389957752
227,32367,1990-12-06,1991,HOU,CHH,116.0,110.0,1506.3738958322754,1491.7287493620865
228,32368,1990-12-07,1991,PHI,DEN,135.0,126.0,1554.7116788486323,629.62188933409
229,32369,1990-12-07,1991,ATL,MIL,103.0,104.0,1469.6103331246477,1552.8706257122585
230,32370,1990-12-07,1991,CHI,NYK,108.0,98.0,1557.198046709988,1475.1208789644363
231,32371,1990-12-07,1991,DAL,BOS,104.0,112.0,1451.9830789462458,1585.2317993742531
232,32372,1990-12-07,1991,GSW,DET,113.0,110.0,2288.9191286846158,1557.0508220652312
233,32373,1990-12-07,1991,IND,POR,105.0,127.0,1462.5845530005888,1621.8402559136887
234,32374,1990-12-07,1991,NJN,PHO,110.0,129.0,1481.0812854678902,1514.2022662197155
235,32375,1990-12-07,1991,ORL,SEA,106.0,100.0,1436.7342788680846,1449.0457624256928
236,32376,1990-12-07,1991,UTA,LAL,101.0,79.0,1541.3601606028465,1531.6482598371642
237,32377,1990-12-08,1991,SAS,BOS,102.0,96.0,1542.5039112185239,1574.2004294296382
238,32378,1990-12-08,1991,IND,CLE,114.0,99.0,1473.3933061208443,1499.308156023752
239,32379,1990-12-08,1991,LAC,UTA,95.0,105.0,1505.4051759037638,1550.161527907273
240,32380,1990-12-08,1991,ORL,PHO,109.0,113.0,1429.3007493200414,1521.640852679782
241,32381,1990-12-08,1991,SAC,DET,93.0,104.0,1413.5168894540539,1562.918930216346
242,32382,1990-12-08,1991,ATL,NYK,99.0,86.0,1479.3645047796895,1465.4876786339426
243,32383,1990-12-08,1991,CHH,DEN,119.0,126.0,1472.517048988084,641.4203847996363
244,32384,1990-12-08,1991,CHI,POR,101.0,109.0,1549.9487397775174,1630.8350301763724
245,32385,1990-12-08,1991,DAL,HOU,107.0,113.0,1443.512540205405,1514.4580146577541
246,32386,1990-12-09,1991,MIL,SEA,105.0,99.0,1560.0092790277895,1441.8345058091015
247,32387,1990-12-09,1991,LAL,WSB,106.0,99.0,1539.812732968863,1463.4620988945271
248,32388,1990-12-10,1991,NJN,CHH,121.0,115.0,1490.2138669107046,1463.2633606558923
249,32389,1990-12-10,1991,HOU,BOS,95.0,107.0,1506.549190390826,1582.6885689939284
250,32390,1990-12-11,1991,UTA,GSW,135.0,117.0,1570.0357852584189,2283.7357148230426
251,32391,1990-12-11,1991,DEN,WSB,128.0,125.0,644.7799539717479,1443.6236447101132
252,32392,1990-12-11,1991,DET,SAS,86.0,95.0,1554.6863151398356,1553.839430423663
253,32393,1990-12-11,1991,MIL,CHI,99.0,87.0,1570.4326185939537,1541.6342531600415
254,32394,1990-12-11,1991,MIN,LAC,101.0,95.0,1450.9157472885097,1494.2378692448508
255,32395,1990-12-11,1991,NYK,MIA,109.0,90.0,1473.5973315311583,1441.2807372800403
256,32396,1990-12-11,1991,ORL,PHI,114.0,119.0,1421.1209234605387,1562.3100073204457
257,32397,1990-12-11,1991,PHO,SAC,113.0,90.0,1528.8274865140277,1404.446310053659
